FileName,AbEpiScore-1.0,AbEpiTarget-1.0
fold_22f5_c1_f_seed8_model_4.cif,0.023691,0.347009
fold_22f5_c1_f_seed3_model_2.cif,0.023238,0.343305
fold_22f5_c1_f_seed10_model_2.cif,0.058506,0.274083
fold_22f5_c1_f_seed1_model_0.cif,0.020699,0.310982
fold_22f5_c1_f_seed4_model_0.cif,0.127126,0.415443
fold_22f5_c1_f_seed7_model_0.cif,0.042547,0.361063
fold_22f5_c1_f_seed10_model_3.cif,0.056262,0.306622
fold_22f5_c1_f_seed2_model_1.cif,0.020931,0.299849
fold_22f5_c1_f_seed5_model_3.cif,0.031113,0.364174
fold_22f5_c1_f_seed8_model_1.cif,0.019651,0.315346
fold_22f5_c1_f_seed1_model_1.cif,0.019543,0.269482
fold_22f5_c1_f_seed8_model_0.cif,0.02146,0.314988
fold_22f5_c1_f_seed5_model_4.cif,0.158118,0.496144
fold_22f5_c1_f_seed7_model_3.cif,0.023236,0.354377
fold_22f5_c1_f_seed4_model_1.cif,0.038975,0.374068
fold_22f5_c1_f_seed2_model_0.cif,0.020895,0.326404
fold_22f5_c1_f_seed6_model_3.cif,0.025455,0.334165
fold_22f5_c1_f_seed5_model_0.cif,0.021693,0.342594
fold_22f5_c1_f_seed3_model_3.cif,0.020311,0.32955
fold_22f5_c1_f_seed1_model_4.cif,0.030539,0.345323
fold_22f5_c1_f_seed3_model_4.cif,0.018469,0.277429
fold_22f5_c1_f_seed8_model_2.cif,0.023224,0.313979
fold_22f5_c1_f_seed9_model_1.cif,0.022804,0.325184
fold_22f5_c1_f_seed6_model_4.cif,0.032087,0.355534
fold_22f5_c1_f_seed1_model_2.cif,0.021585,0.312609
fold_22f5_c1_f_seed8_model_3.cif,0.023913,0.352166
fold_22f5_c1_f_seed9_model_2.cif,0.032512,0.352789
fold_22f5_c1_f_seed9_model_4.cif,0.019321,0.320238
fold_22f5_c1_f_seed3_model_1.cif,0.036382,0.402281
fold_22f5_c1_f_seed7_model_2.cif,0.021487,0.388693
fold_22f5_c1_f_seed9_model_3.cif,0.029478,0.299245
fold_22f5_c1_f_seed5_model_2.cif,0.024811,0.353381
fold_22f5_c1_f_seed5_model_1.cif,0.127966,0.437295
fold_22f5_c1_f_seed4_model_2.cif,0.03437,0.367294
fold_22f5_c1_f_seed4_model_3.cif,0.170182,0.404274
fold_22f5_c1_f_seed4_model_4.cif,0.039609,0.328347
fold_22f5_c1_f_seed2_model_4.cif,0.021188,0.342113
fold_22f5_c1_f_seed10_model_1.cif,0.050103,0.445529
fold_22f5_c1_f_seed9_model_0.cif,0.039355,0.361728
fold_22f5_c1_f_seed7_model_1.cif,0.024106,0.290376
fold_22f5_c1_f_seed1_model_3.cif,0.019007,0.311008
fold_22f5_c1_f_seed10_model_0.cif,0.118456,0.353437
fold_22f5_c1_f_seed10_model_4.cif,0.169707,0.378305
fold_22f5_c1_f_seed6_model_1.cif,0.021611,0.334904
fold_22f5_c1_f_seed2_model_3.cif,0.036625,0.354412
fold_22f5_c1_f_seed7_model_4.cif,0.027287,0.356539
fold_22f5_c1_f_seed2_model_2.cif,0.021229,0.297543
fold_22f5_c1_f_seed6_model_0.cif,0.023294,0.347062
fold_22f5_c1_f_seed3_model_0.cif,0.021513,0.334534
fold_22f5_c1_f_seed6_model_2.cif,0.019709,0.280189